state,act_participation_2019,sat_participation_2019,act_score_2019,sat_score_2019
Alabama,1.0,0.07,18.9,1143.0
Alaska,0.38,0.41,20.1,1097.0
Arizona,0.73,0.31,19.0,1134.0
Arkansas,1.0,0.06,19.3,1141.0
California,0.23,0.63,22.6,1065.0
Colorado,0.27,1.0,23.8,1024.0
Connecticut,0.22,1.0,25.5,1046.0
Delaware,0.13,1.0,24.1,985.0
District of Columbia,0.32,0.94,23.5,975.0
Florida,0.54,1.0,20.1,999.0
Georgia,0.49,0.71,21.4,1058.0
Hawaii,0.8,0.54,19.0,1100.0
Idaho,0.31,1.0,22.5,993.0
Illinois,0.35,1.0,24.3,1013.0
Indiana,0.29,0.66,22.5,1080.0
Iowa,0.66,0.03,21.6,1244.0
Kansas,0.72,0.04,21.2,1241.0
Kentucky,1.0,0.04,19.8,1232.0
Louisiana,1.0,0.05,18.8,1200.0
Maine,0.06,0.99,24.3,1013.0
Maryland,0.28,0.82,22.3,1058.0
Massachusetts,0.21,0.81,25.5,1120.0
Michigan,0.19,1.0,24.4,1003.0
Minnesota,0.95,0.04,21.4,1284.0
Mississippi,1.0,0.03,18.4,1237.0
Missouri,0.82,0.04,20.8,1236.0
Montana,1.0,0.09,19.8,1199.0
Nebraska,1.0,0.03,20.0,1260.0
Nevada,1.0,0.2,17.9,1156.0
New Hampshire,0.14,0.95,25.0,1059.0
New Jersey,0.25,0.82,24.2,1090.0
New Mexico,0.63,0.18,19.3,1073.0
New York,0.22,0.79,24.5,1064.0
North Carolina,1.0,0.51,19.0,1100.0
North Dakota,0.96,0.02,19.9,1263.0
Ohio,1.0,0.19,20.0,1097.0
Oklahoma,1.0,0.22,18.9,963.0
Oregon,0.42,0.51,21.1,1112.0
Pennsylvania,0.17,0.7,23.6,1082.0
Rhode Island,0.12,1.0,24.7,995.0
South Carolina,0.78,0.68,18.8,1030.0
South Dakota,0.75,0.03,21.6,1268.0
Tennessee,1.0,0.07,19.4,1220.0
Texas,0.39,0.68,20.5,1022.0
Utah,1.0,0.04,20.3,1230.0
Vermont,0.2,0.66,24.1,1106.0
Virginia,0.21,0.68,24.0,1119.0
Washington,0.24,0.7,22.1,1074.0
West Virginia,0.49,0.99,20.8,943.0
Wisconsin,1.0,0.03,20.3,1283.0
Wyoming,1.0,0.03,19.8,1238.0
